[2018-08-25 23:27:51] [INFO   ] discord.client: logging in using static token
[2018-08-25 23:49:25] [ERROR  ] asyncio: Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0D6243B0>
[2018-08-25 23:49:25] [ERROR  ] asyncio: Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0D81D510>
[2018-08-25 23:49:25] [INFO   ] __main__: 2018-08-25 20:49:26.365000: iWeeti in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:49:25] [INFO   ] cogs.stats: 2018-08-25 20:49:26.365000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:49:28] [INFO   ] __main__: 2018-08-25 20:49:29.095000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 1
[2018-08-25 23:49:28] [INFO   ] cogs.stats: 2018-08-25 20:49:29.095000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 1
[2018-08-25 23:49:32] [INFO   ] __main__: 2018-08-25 20:49:33.267000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 0
[2018-08-25 23:49:32] [INFO   ] cogs.stats: 2018-08-25 20:49:33.267000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 0
[2018-08-25 23:49:37] [INFO   ] __main__: 2018-08-25 20:49:38.490000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 0
[2018-08-25 23:49:37] [INFO   ] cogs.stats: 2018-08-25 20:49:38.490000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 0
[2018-08-25 23:49:40] [INFO   ] __main__: 2018-08-25 20:49:41.418000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 0
[2018-08-25 23:49:40] [INFO   ] cogs.stats: 2018-08-25 20:49:41.418000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 0
[2018-08-25 23:50:06] [INFO   ] __main__: 2018-08-25 20:50:07.863000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 25
[2018-08-25 23:50:06] [INFO   ] cogs.stats: 2018-08-25 20:50:07.863000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 25
[2018-08-25 23:50:20] [INFO   ] __main__: 2018-08-25 20:50:21.070000: iWeeti in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:50:20] [INFO   ] cogs.stats: 2018-08-25 20:50:21.070000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:50:29] [INFO   ] __main__: 2018-08-25 20:50:30.919000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 25
[2018-08-25 23:50:29] [INFO   ] cogs.stats: 2018-08-25 20:50:30.919000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 25
[2018-08-25 23:50:40] [INFO   ] __main__: 2018-08-25 20:50:41.747000: iWeeti in #testing-1 (Discord Bot List): -.color 10 Bakagain
[2018-08-25 23:50:40] [INFO   ] cogs.stats: 2018-08-25 20:50:41.747000: iWeeti#4990 in #testing-1 (Discord Bot List): -.color 10 Bakagain
[2018-08-25 23:50:50] [INFO   ] __main__: 2018-08-25 20:50:51.652000: iWeeti in #testing-1 (Discord Bot List): -.color 10 Lukee
[2018-08-25 23:50:50] [INFO   ] cogs.stats: 2018-08-25 20:50:51.652000: iWeeti#4990 in #testing-1 (Discord Bot List): -.color 10 Lukee
[2018-08-25 23:50:55] [INFO   ] __main__: 2018-08-25 20:50:56.549000: iWeeti in #testing-1 (Discord Bot List): -.color 10 Lukee
[2018-08-25 23:50:55] [INFO   ] cogs.stats: 2018-08-25 20:50:56.549000: iWeeti#4990 in #testing-1 (Discord Bot List): -.color 10 Lukee
[2018-08-25 23:51:13] [INFO   ] __main__: 2018-08-25 20:51:14.817000: Bakagain in #testing-1 (Discord Bot List): -.color 10 lukee
